City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
175,Dawlatabad,AF,2020-02-23 18:34:53,36.41,64.91,54.48,74,91,1.5,overcast clouds,0.0,0.0
176,Soyo,AO,2020-02-23 18:34:53,-6.13,12.37,84.2,74,20,5.82,few clouds,0.0,0.0
177,Moose Factory,CA,2020-02-23 18:34:54,51.26,-80.61,12.2,85,1,12.75,clear sky,0.0,0.0
178,Dmitriyevka,RU,2020-02-23 18:34:54,54.75,55.33,28.4,79,90,22.37,overcast clouds,0.0,0.0
179,Talnakh,RU,2020-02-23 18:34:54,69.49,88.4,14.0,92,75,29.08,shower snow,0.0,0.0
180,Carnarvon,AU,2020-02-23 18:34:55,-24.87,113.63,75.2,88,40,8.05,scattered clouds,0.0,0.0
181,Isfana,KG,2020-02-23 18:34:58,39.84,69.53,48.2,87,90,13.42,mist,0.0,0.0
182,Imbituba,BR,2020-02-23 18:34:59,-28.24,-48.67,77.0,69,40,11.41,scattered clouds,0.0,0.0
183,Jieznas,LT,2020-02-23 18:34:59,54.6,24.17,39.2,64,90,9.17,overcast clouds,0.0,0.0
184,Campana,AR,2020-02-23 18:34:59,-34.17,-58.96,80.01,47,40,9.17,scattered clouds,0.0,0.0
185,Harnosand,SE,2020-02-23 18:32:50,62.63,17.94,37.4,55,40,8.05,scattered clouds,0.0,0.0
186,Viedma,AR,2020-02-23 18:35:00,-40.81,-63.0,89.35,21,0,20.98,clear sky,0.0,0.0
187,College,US,2020-02-23 18:35:00,64.86,-147.8,-4.0,83,20,0.98,few clouds,0.0,0.0
188,Comodoro Rivadavia,AR,2020-02-23 18:35:00,-45.87,-67.5,68.0,52,26,13.87,scattered clouds,0.0,0.0
189,Elbrus,RU,2020-02-23 18:35:01,43.26,42.64,14.09,75,10,8.57,clear sky,0.0,0.0
190,Rajampet,IN,2020-02-23 18:35:01,14.18,79.17,67.51,93,81,3.76,broken clouds,0.0,0.0
191,Victoria,HK,2020-02-23 18:35:02,22.29,114.16,68.0,63,66,18.34,broken clouds,0.0,0.0
192,Agadir,MA,2020-02-23 18:35:02,30.42,-9.6,89.6,8,0,6.93,clear sky,0.0,0.0
193,Sao Filipe,CV,2020-02-23 18:35:02,14.9,-24.5,68.52,83,100,18.84,overcast clouds,0.0,0.0
194,Kankaanpaa,FI,2020-02-23 18:35:02,61.8,22.42,37.4,74,90,20.8,light intensity shower rain,0.0,0.0
195,Port Alfred,ZA,2020-02-23 18:35:03,-33.59,26.89,62.01,81,52,8.03,broken clouds,0.0,0.0
196,Yerbogachen,RU,2020-02-23 18:35:03,61.28,108.01,12.9,94,93,8.7,overcast clouds,0.0,0.0
197,Bengkulu,ID,2020-02-23 18:35:03,-3.8,102.27,74.64,90,15,4.23,few clouds,0.0,0.0
198,Khatanga,RU,2020-02-23 18:31:40,71.97,102.5,12.67,92,98,15.46,light snow,0.0,0.25
199,Arlit,NE,2020-02-23 18:35:04,18.74,7.39,78.31,12,58,12.71,broken clouds,0.0,0.0
200,Narsaq,GL,2020-02-23 18:35:04,60.92,-46.05,24.8,58,100,5.82,snow,0.0,1.81
201,Svetlogorsk,BY,2020-02-23 18:32:14,52.63,29.73,37.24,73,56,8.97,broken clouds,0.0,0.0
202,Marseille,FR,2020-02-23 18:35:05,43.33,5.5,62.6,66,0,2.24,clear sky,0.0,0.0
203,Mount Gambier,AU,2020-02-23 18:35:06,-37.83,140.77,57.2,93,96,9.17,overcast clouds,0.0,0.0
204,Cantaura,VE,2020-02-23 18:35:09,9.31,-64.36,99.9,26,91,3.18,overcast clouds,0.0,0.0
205,Luderitz,NA,2020-02-23 18:35:09,-26.65,15.16,68.49,71,0,27.65,clear sky,0.0,0.0
206,Nuuk,GL,2020-02-23 18:35:10,64.18,-51.72,19.4,79,100,14.99,light snow,0.0,0.0
207,Churapcha,RU,2020-02-23 18:35:10,62.0,132.43,-8.03,97,98,4.29,overcast clouds,0.0,0.0
208,Tuatapere,NZ,2020-02-23 18:35:10,-46.13,167.68,51.01,91,29,3.0,scattered clouds,0.0,0.0
209,Russell,US,2020-02-23 18:35:10,32.35,-85.2,57.99,28,40,3.36,scattered clouds,0.0,0.0
210,Sitka,US,2020-02-23 18:32:23,57.05,-135.33,33.8,86,90,10.29,light rain,0.76,0.0
211,San Patricio,MX,2020-02-23 18:35:11,19.22,-104.7,84.2,74,5,11.41,clear sky,0.0,0.0
212,Clyde River,CA,2020-02-23 18:35:11,70.47,-68.59,-22.0,74,1,12.75,clear sky,0.0,0.0
213,Ostrovnoy,RU,2020-02-23 18:35:11,68.05,39.51,30.78,94,100,17.78,light snow,0.0,0.63
214,Klaksvik,FO,2020-02-23 18:35:12,62.23,-6.59,37.4,74,80,23.04,light snow,0.0,0.69
215,Warrnambool,AU,2020-02-23 18:35:12,-38.38,142.48,57.0,95,98,10.65,overcast clouds,0.0,0.0
216,Komsomolskiy,UZ,2020-02-23 18:35:12,40.43,71.72,50.0,76,90,4.7,mist,0.0,0.0
217,Canutama,BR,2020-02-23 18:35:13,-6.53,-64.38,92.68,50,93,1.25,overcast clouds,0.0,0.0
218,Marsa Matruh,EG,2020-02-23 18:35:13,31.35,27.25,51.8,76,75,8.05,broken clouds,0.0,0.0
219,Flinders,AU,2020-02-23 18:35:13,-34.58,150.86,69.01,77,90,5.82,overcast clouds,0.0,0.0
220,Sayyan,YE,2020-02-23 18:35:13,15.17,44.32,56.19,21,0,3.71,clear sky,0.0,0.0
221,Touros,BR,2020-02-23 18:35:14,-5.2,-35.46,87.8,62,78,14.99,broken clouds,0.0,0.0
222,Morgan City,US,2020-02-23 18:35:14,29.7,-91.21,69.01,68,1,9.17,clear sky,0.0,0.0
223,Isiro,CD,2020-02-23 18:32:00,2.77,27.62,78.62,49,53,2.66,broken clouds,0.0,0.0
224,Quatre Cocos,MU,2020-02-23 18:35:14,-20.21,57.76,77.0,88,75,4.7,broken clouds,0.0,0.0
225,Laplace,US,2020-02-23 18:35:15,30.07,-90.48,69.01,52,90,11.41,overcast clouds,0.0,0.0
226,Tukrah,LY,2020-02-23 18:35:17,32.53,20.58,54.9,70,10,19.6,light rain,0.0,0.0
227,Muli,MV,2020-02-23 18:35:19,2.92,73.57,83.19,80,78,20.09,light rain,0.0,0.0
228,Saint Anthony,US,2020-02-23 18:35:20,45.02,-93.22,44.6,52,1,16.11,clear sky,0.0,0.0
